YearBuilt,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,SalePrice
1958,1776,1,0,2,0,110000
1925,1208,0,0,1,0,103000
1995,1616,1,0,2,0,236500
2003,1146,1,0,2,0,187500
1998,2031,0,0,2,1,222500
1961,1144,1,0,1,0,131400
1968,948,0,0,1,0,108000
1914,1768,0,0,1,1,163000
1950,1040,0,0,2,0,93500
2005,1801,0,0,2,1,239900
1987,1200,3,0,3,0,179000
2004,1728,0,0,2,1,190000
1910,1432,0,0,2,0,132000
1961,912,1,1,1,0,142000
2000,1349,0,0,2,0,179000
1963,1464,0,1,2,0,175000
1993,1337,1,0,2,0,180000
1976,2715,0,1,3,1,299800
2000,2256,0,0,2,1,236000
1880,2640,0,0,1,1,265979
1996,1720,1,0,2,0,260400
1945,1529,0,0,2,0,98000
1910,1140,0,0,1,0,96500
2003,1320,0,0,2,1,162000
1997,1494,1,0,2,0,217000
2005,2098,0,0,2,1,275500
1969,1026,1,0,1,0,156000
1999,1471,0,0,2,1,172500
2007,1768,0,0,2,1,212000
1978,1386,0,0,2,1,158900
1999,1501,0,0,2,1,179400
1995,2531,0,0,2,1,290000
1959,864,0,0,1,0,127500
1924,1301,0,0,1,0,100000
2009,1547,0,0,2,1,215200
1999,2365,1,0,2,1,337000
1995,1494,1,0,1,1,270000
2008,1506,0,0,2,0,264132
1988,1714,0,0,2,1,196500
1940,1750,1,0,2,0,160000
2004,1836,0,0,2,0,216837
2003,3279,1,0,3,1,538000
1982,858,1,0,1,0,134900
1951,1220,0,0,1,0,102000
1976,1117,1,0,1,0,107000
1958,912,0,0,1,0,114500
2006,1973,0,0,2,0,395000
1998,1204,1,0,2,0,162000
2005,1614,0,0,2,0,221500
1974,894,1,0,1,0,142500
1977,2020,0,0,2,0,144000
1977,1004,1,0,1,0,135000
1995,1253,0,0,2,0,176000
1992,1603,0,0,2,1,175900
2001,1430,0,0,2,0,187100
1978,1110,1,0,1,0,165500
1914,1484,0,0,2,0,128000
1967,1342,0,0,2,0,161500
1915,1652,1,0,2,0,139000
2004,2084,1,0,2,1,233000
1954,901,0,0,1,0,107900
1966,2087,0,0,2,1,187500
2005,1145,0,0,2,0,160200
1976,1062,1,0,1,0,146800
1996,2013,1,0,2,1,269790
2007,1496,0,0,2,0,225000
1994,1895,0,0,2,1,194500
1980,1564,0,0,2,1,171000
1977,1285,0,0,1,1,143500
1953,773,0,0,1,0,110000
2008,3140,0,0,3,1,485000
1937,1768,1,0,1,1,175000
1997,1688,1,0,2,1,200000
1916,1196,1,0,1,0,109900
2005,1456,1,0,2,1,189000
2008,2822,0,0,3,1,582933
1954,1128,0,0,1,0,118000
2008,1428,0,0,2,0,227680
1967,980,0,0,2,0,135500
1923,1576,2,0,1,1,223500
1966,1086,1,0,1,0,159950
1898,2138,0,0,2,0,106000
1974,1309,1,0,1,1,181000
2004,848,1,0,1,0,144500
1952,1044,0,0,1,0,55993
1958,1442,0,0,1,1,157900
1918,1250,0,1,1,1,116000
1998,1661,0,0,2,0,224900
1954,1008,0,0,1,0,137000
2002,1689,1,0,2,0,271000
1971,1052,1,0,1,0,155000
2009,1358,1,0,2,0,224000
2003,1640,0,0,2,1,183000
1953,936,0,0,1,0,93000
2003,1733,0,0,2,1,225000
1940,1489,0,0,2,0,139500
2006,1489,0,0,2,0,232600
2007,2084,1,0,2,0,385000
1924,784,1,0,1,0,109500
2001,1434,0,0,2,0,189000
1967,2126,0,1,2,1,185000
2005,1223,0,0,2,1,147400
1957,1392,1,0,1,1,166000
2005,1200,0,0,2,1,151000
2003,1829,1,0,2,1,237000
1964,1516,0,0,1,1,167000
1961,1144,1,0,1,0,139950
1950,1067,0,0,2,0,128000
1948,1559,1,0,1,0,153500
1973,987,1,0,1,1,100000
1995,1099,0,0,1,1,144000
1946,1200,0,0,1,0,130500
1925,1482,0,0,2,0,140000
1904,1539,0,0,2,0,157500
1966,1165,1,0,1,1,174900
1961,1800,0,0,2,0,141000
1915,1416,0,0,1,1,153900
1975,1701,1,0,2,0,171000
1993,1775,1,0,2,1,213000
1972,864,1,0,1,0,133500
1908,2358,0,0,3,0,240000
1976,1855,0,0,2,1,187000
2003,848,1,0,1,0,131500
2003,1456,0,0,2,0,215000
1941,1646,0,0,2,0,164000
1964,1445,0,0,1,1,158000
1955,1779,1,0,1,1,170000
1962,1040,1,0,1,1,127000
1978,1026,1,0,1,0,147000
1994,1481,0,0,2,1,174000
1976,1370,0,0,2,0,152000
1968,2654,1,0,2,1,250000
1918,1426,0,0,1,1,189950
1965,1039,1,0,1,1,131500
1984,1097,0,0,2,0,152000
1959,1148,1,0,1,0,132500
2007,1372,0,0,2,0,250580
1970,1002,1,0,1,0,148500
2006,1646,0,0,2,0,248900
1961,1120,1,0,1,1,129000
1948,2320,0,0,2,0,169000
1993,1949,1,0,2,1,236000
1962,894,0,0,1,0,109500
1998,1682,0,0,2,1,200500
1953,910,0,0,1,0,116000
1949,1268,0,0,1,0,133000
1941,1131,0,0,1,1,66500
2007,2610,0,0,2,1,303477
1963,1040,1,0,1,0,132250
2004,2224,1,0,2,1,350000
1961,1155,1,0,1,0,148000
1978,864,1,0,1,0,136500
2005,1090,1,0,1,1,157000
1990,1717,0,0,2,1,187500
1992,1593,0,0,2,1,178000
1912,2230,1,0,1,0,118500
1967,892,0,0,1,0,100000
1999,1709,1,0,2,0,328900
1959,1712,0,0,2,0,145000
1955,1393,0,0,1,1,135500
1970,2217,1,0,2,0,268000
1953,1505,1,0,1,0,149500
1949,924,0,0,1,0,122900
1978,1683,0,0,2,1,172500
1963,1068,0,1,1,0,154500
1954,1383,1,0,1,0,165000
1979,1535,0,0,2,0,118858
1963,1796,1,0,1,1,140000
1936,951,0,0,1,0,106500
1979,2240,0,0,2,0,142953
2009,2364,1,0,2,1,611657
1961,1236,0,0,1,0,135000
1971,858,0,0,1,0,110000
1957,1306,1,0,1,0,153000
2003,1509,0,0,2,1,180000
2006,1670,0,0,2,0,240000
1967,902,0,0,1,0,125500
1954,1063,1,0,1,0,128000
2006,1636,1,0,2,0,255000
1936,2057,0,0,1,1,250000
1983,902,1,0,1,0,131000
2005,1484,0,0,2,1,174000
1960,2274,0,0,2,0,154300
1977,1268,0,0,1,1,143500
1925,1015,0,0,1,0,88000
1949,2002,0,0,2,0,145000
2009,1224,0,0,2,1,173733
1970,1092,0,0,1,1,75000
1949,480,1,0,0,0,35311
1956,1229,0,0,1,0,135000
1991,2127,1,0,2,1,238000
1958,1414,1,0,1,0,176500
1994,1721,0,1,2,1,201000
1900,2200,2,0,2,2,145900
2005,1316,0,0,2,0,169990
1993,1617,1,0,2,0,193000
1980,1686,1,0,2,0,207500
1977,1126,0,1,2,0,175000
2003,2374,0,0,2,1,285000
1968,1978,0,0,2,1,176000
2001,1788,0,0,2,0,236500
1997,2236,0,0,2,1,222000
2007,1466,0,0,2,0,201000
1965,925,0,1,1,0,117500
2006,1905,0,0,2,0,320000
2004,1500,0,0,2,0,190000
1960,2069,1,0,2,0,242000
1926,747,0,0,1,0,79900
2003,1200,1,0,2,0,184900
2005,1971,0,0,2,1,253000
2006,1962,0,0,2,1,239799
1940,2403,0,0,2,0,244400
1976,1728,0,0,2,0,150900
1999,2060,1,0,2,1,214000
1977,1440,2,0,2,0,150000
1967,1632,0,0,2,0,143000
1958,1344,0,1,1,0,137500
1890,1869,0,0,1,0,124900
1959,1144,1,0,1,0,143000
2002,1629,1,0,2,0,270000
2002,1776,0,0,2,1,192500
1972,1381,1,0,1,1,197500
1950,864,1,0,1,0,129000
1965,965,1,0,1,0,119900
1972,768,0,1,1,0,133900
1969,1968,0,1,2,1,172000
1975,980,0,2,2,0,127500
1946,1958,0,0,2,0,145000
1980,1229,0,0,1,1,124000
1962,1057,0,0,1,0,132000
2003,1337,1,0,2,0,185000
1999,1416,1,0,2,1,155000
1958,858,1,0,1,0,116500
1977,2872,1,0,2,1,272000
1976,1548,1,0,2,1,155000
2007,1800,0,0,2,0,239000
2002,1894,1,0,2,1,214900
2005,1484,0,0,2,1,178900
1940,1308,1,0,1,1,160000
1955,1098,1,0,1,0,135000
1910,968,0,0,1,0,37900
1958,1095,1,0,1,0,140000
1949,1192,0,0,1,1,135000
2003,1626,0,0,2,0,173000
1979,918,0,0,2,0,99500
2007,1428,0,0,2,0,182000
1910,2019,0,0,1,0,167500
2000,1382,1,0,2,1,165000
1923,869,0,0,1,0,85500
2006,1241,1,0,1,1,199900
1954,894,0,0,1,0,110000
1963,1121,1,0,1,0,139000
1961,999,1,0,1,0,178400
1998,2612,1,0,2,1,336000
2007,1266,0,0,2,0,159895
2002,2290,0,0,2,1,255900
1977,1734,0,0,2,0,126000
1950,1164,1,0,1,0,125000
1910,1635,0,0,1,0,117000
2009,1940,1,0,2,1,395192
1976,2030,0,0,2,1,195000
2006,1576,0,0,2,1,197000
1997,2392,1,0,2,1,348000
1882,1742,0,0,1,1,168000
1964,1851,0,0,2,1,187000
2005,1500,0,0,2,1,173900
2006,1718,1,0,2,0,337500
1946,1230,1,0,1,1,121600
1961,1050,1,0,1,0,136500
1970,1442,0,0,2,0,185000
1922,1077,0,0,1,0,91000
2006,1208,1,0,2,0,206000
1952,944,0,0,1,0,82000
1920,691,0,0,1,0,86000
2006,1574,0,0,2,0,232000
1976,1680,0,0,2,0,136905
2005,1504,0,0,2,0,181000
1977,985,0,0,2,0,149900
1970,1657,0,1,2,0,163500
1970,1092,0,0,1,1,88000
2004,1710,0,0,2,0,240000
1926,1522,0,0,2,0,102000
1948,1271,0,0,2,0,135000
1965,1664,0,0,2,0,100000
1923,1502,0,0,1,1,165000
1910,1022,1,0,1,0,85000
1948,1082,0,0,1,0,119200
2001,1665,1,0,2,1,227000
1996,1504,1,0,2,0,203000
1984,1360,1,0,1,0,187500
1991,1472,0,0,2,1,160000
2005,1506,0,0,2,0,213490
2005,1132,1,0,1,1,176000
2006,1220,1,0,2,0,194000
1930,1248,0,0,1,0,87000
2005,1504,0,0,2,0,191000
1976,2898,1,0,2,0,287000
1972,882,1,0,1,0,112500
1960,1264,1,0,1,0,167500
2007,1646,1,0,2,0,293077
1941,1376,1,0,1,0,105000
1972,1218,0,1,1,1,118000
1916,1928,0,0,2,0,160000
1920,3082,1,0,2,1,197000
1993,2520,1,0,2,1,310000
2002,1654,1,0,2,0,230000
1938,954,0,0,1,0,119750
1957,845,0,0,1,0,84000
2007,1620,1,0,2,0,315500
2001,2263,0,0,2,1,287000
1970,1344,0,0,1,1,97000
1970,630,1,0,1,0,80000
1957,1803,1,0,2,0,155000
1966,1632,0,1,1,1,173000
2005,1306,1,0,2,0,196000
1990,2329,1,0,2,1,262280
1981,2524,1,0,2,1,278000
1955,1733,0,0,2,0,139600
2005,2868,0,0,3,1,556581
1994,990,0,1,1,0,145000
1960,1771,0,0,1,0,115000
1946,930,0,0,1,0,84900
2007,1302,0,0,2,0,176485
2007,1316,0,0,2,0,200141
1964,1977,0,1,1,1,165000
1957,1526,0,0,1,0,144500
2002,1989,1,0,2,1,255000
1976,1523,0,1,2,0,180000
2005,1364,1,0,2,0,185850
1994,1850,0,0,2,1,248000
2008,2184,1,0,2,1,335000
1932,1991,0,0,1,1,220000
2001,1338,1,0,2,0,213500
1935,894,0,0,1,0,81000
1900,2337,0,0,2,0,90000
1925,1103,0,0,1,0,110500
1966,1154,0,0,1,1,154000
1996,2260,1,0,2,1,328000
1993,1571,0,0,2,1,178000
1964,1611,1,0,1,1,167900
1973,2521,1,0,2,1,151400
1949,893,0,1,1,0,135000
1956,1048,1,0,1,0,135000
1968,1556,0,0,1,1,154000
1948,1456,1,1,1,0,91500
1977,1426,0,0,1,1,159500
2006,1240,0,0,2,0,194000
1940,1740,0,0,1,1,219500
1936,1466,0,1,2,0,170000
1969,1096,1,0,1,0,138800
2004,848,1,0,1,0,155900
1994,990,0,0,1,0,126000
1971,1258,0,1,2,0,145000
1963,1040,1,0,1,1,133000
2002,1459,0,0,2,0,192000
1964,1251,1,0,1,0,160000
1995,1498,0,0,2,1,187500
1992,996,1,0,1,0,147000
1973,1092,0,0,1,1,83500
2005,1953,0,0,2,1,252000
2004,1709,0,0,2,0,137500
2005,1247,1,0,1,1,197000
1950,1040,0,0,2,0,92900
1999,1252,1,0,2,1,160000
1925,1694,0,0,2,0,136500
1965,1200,1,0,1,1,146000
1956,936,1,0,1,0,129000
2006,1314,0,0,2,0,176432
1914,1355,0,0,1,1,127000
1986,1088,0,0,1,1,170000
1936,1324,0,0,1,0,128000
1978,1601,0,0,2,0,157000
1920,438,0,0,1,0,60000
1971,950,0,0,1,0,119500
1960,1134,0,0,1,0,135000
1959,1194,0,1,1,0,159500
1970,1302,0,0,2,1,106000
1994,2622,1,0,2,1,325000
1990,1442,1,0,2,0,179900
2006,2021,0,0,2,1,274725
2000,1690,0,0,2,1,181000
2004,1836,1,0,2,0,280000
1995,1658,1,0,2,1,188000
1976,1964,0,0,2,1,205000
1957,816,1,0,1,0,129900
1953,1008,1,0,1,0,134500
1954,833,0,0,1,0,117000
2007,1734,1,0,2,0,318000
2002,1419,1,0,2,1,184100
1967,894,1,0,1,0,130000
1958,1601,0,1,1,0,140000
1959,1040,0,0,1,0,133700
1920,1012,0,0,1,0,118400
2005,1552,0,0,2,0,212900
1956,960,0,0,1,0,112000
1947,698,0,1,1,0,118000
1992,1482,0,0,2,1,163900
1955,1005,0,0,1,0,115000
2007,1555,0,0,2,0,174000
2004,1530,1,0,2,0,259000
2004,1959,0,0,2,1,215000
1980,936,1,0,1,0,140000
1928,1981,1,0,2,0,135000
1991,974,0,0,1,0,93500
1880,2210,0,0,2,0,117500
1995,2020,0,0,2,1,239500
1997,1600,0,0,2,1,169000
1926,986,0,0,1,0,102000
1950,1252,0,0,1,0,119000
1875,1020,0,0,1,0,94000
1977,1567,1,0,2,0,196000
1920,1167,0,0,1,0,144000
1951,952,1,0,1,0,139000
1976,1868,1,0,2,1,197500
2006,2828,1,0,3,0,424870
1959,1006,0,0,1,0,80000
1941,924,1,0,1,0,80000
1928,1576,0,0,1,0,149000
1985,1298,1,0,2,0,180000
1941,1564,0,0,1,1,174500
1926,1111,0,0,1,0,116900
1920,1482,0,1,1,0,143000
1950,932,0,0,1,0,124000
1959,1466,0,0,1,1,149900
1956,1811,0,0,1,0,230000
1930,816,0,0,1,0,120500
1965,1820,0,0,1,2,201800
1976,1437,1,0,2,0,218000
1965,1265,0,1,2,0,179900
2007,1314,1,0,2,0,230000
2007,1580,0,0,2,0,235128
1974,1876,0,0,2,1,185000
1978,1456,0,0,2,1,146000
1954,1640,1,0,1,0,224000
1968,894,0,0,1,0,129000
1969,1258,2,0,0,2,108959
1978,1432,1,0,1,1,194000
2009,1502,0,0,2,0,233170
2008,1694,0,0,2,0,245350
2000,1671,1,0,2,1,173000
1935,2108,0,0,2,0,235000
1995,3627,1,0,3,1,625000
1977,1118,1,0,1,0,171000
1958,1261,1,0,1,0,163000
2006,1250,0,0,2,1,171900
1946,3086,0,0,3,0,200500
1932,2345,0,0,2,1,239000
1992,2872,0,0,2,1,285000
1984,923,1,0,1,0,119500
1926,1224,0,0,1,0,115000
1921,1343,0,0,1,1,154900
1954,1124,0,0,1,0,93000
1990,2514,0,0,2,1,250000
2008,1652,1,1,2,0,392500
1996,4476,1,0,3,1,745000
1920,1130,1,0,1,0,120000
1963,1572,1,0,1,1,186700
1924,1221,1,0,1,0,104900
1900,1699,1,0,2,0,95000
1994,1624,1,0,2,0,262000
2002,1660,0,0,2,1,195000
1999,1804,0,0,2,1,189000
1961,1622,1,0,1,0,168000
1999,1441,0,0,2,1,174000
1925,1472,0,0,1,0,125000
1999,1224,1,0,2,0,165000
1969,1352,0,0,1,1,158000
2005,1456,0,0,2,1,176000
2006,1863,0,0,2,1,219210
1916,1690,0,0,1,0,144000
2001,1212,0,0,2,0,178000
1963,1382,0,0,1,1,148000
1970,864,0,0,1,0,116050
1998,1779,0,0,2,1,197900
1925,1348,1,0,1,0,117000
2000,1630,0,0,2,0,213000
1975,1074,1,0,1,1,153500
1990,2196,0,0,2,0,271900
1966,1056,1,0,1,0,107000
2003,1700,1,0,2,0,200000
1962,1283,1,0,1,0,140000
2006,1660,1,0,2,0,290000
1992,1845,0,0,2,1,189000
1988,1752,0,0,2,0,164000
1941,672,1,0,1,0,113000
1965,960,1,1,0,0,145000
1962,999,1,0,1,0,134500
1966,894,0,0,1,0,125000
1978,1902,0,0,2,0,112000
2009,1314,1,0,2,0,229456
1947,912,0,0,1,0,80500
1971,1218,0,0,1,1,91500
1964,912,0,0,1,0,115000
1968,1211,0,0,1,0,134000
1949,1846,0,0,2,0,143000
1951,2136,0,0,2,0,137900
2004,1490,1,0,2,1,184000
1958,1138,0,1,1,0,145000
2007,1933,0,0,2,1,214000
1965,912,1,0,1,0,147000
2008,1702,1,0,1,1,367294
1960,1507,0,0,2,0,127000
1977,2620,0,0,2,2,190000
1962,1190,1,0,1,0,132500
1962,1224,0,0,2,0,101800
1959,1188,1,0,1,0,142000
1911,1964,0,0,1,1,130000
1914,1784,0,0,1,1,138887
2003,1626,0,0,2,1,175500
2004,1948,0,0,2,1,195000
2005,1141,0,0,1,1,142500
2006,1484,0,0,2,0,265900
2003,1768,1,0,2,1,224900
2007,1689,0,0,2,0,248328
1974,1173,1,0,2,0,170000
2006,2076,1,0,2,1,465000
1929,1517,0,0,1,0,230000
1984,1868,0,0,3,1,178000
2005,1553,0,0,2,1,186500
1976,1034,1,0,1,0,169900
1917,2058,0,0,1,1,129500
1950,988,0,0,1,0,119000
1968,2110,1,0,2,1,244000
2003,1405,0,0,2,0,171750
1968,874,1,0,1,0,130000
1974,2167,1,0,2,1,294000
2003,1656,0,0,2,1,165400
1931,1367,0,0,1,0,127500
1994,1987,1,0,2,0,301500
1922,864,0,0,1,0,99900
2005,1166,1,0,2,0,190000
1969,1054,1,0,1,1,151000
1999,1675,0,0,2,1,181000
1956,1050,0,0,1,0,128900
1957,1788,1,0,1,0,161500
1919,1824,0,0,1,0,180500
1998,1337,1,0,2,0,181000
1999,1452,1,0,2,1,183900
1910,1889,0,0,1,1,122000
2008,2018,0,0,2,0,378500
1935,3447,0,0,3,1,381000
1958,1524,0,0,1,1,144000
1979,1524,2,0,0,1,260000
1968,1489,0,0,2,0,185750
1965,935,1,0,1,0,137000
1959,1357,1,0,1,0,177000
1910,1250,0,0,2,0,139000
1948,1920,0,0,2,0,137000
1972,1395,0,1,1,1,162000
1967,1724,1,0,1,1,197900
2002,2031,1,0,2,1,237000
1920,1128,0,0,1,0,68400
2002,1573,1,0,2,0,227000
1990,1339,1,0,2,0,180000
1977,1040,0,0,2,0,150500
1971,1824,0,0,2,2,139000
1919,2447,0,0,2,0,169000
1939,1412,0,0,1,0,132500
1963,1328,1,0,1,1,143000
1964,1582,0,1,2,0,190000
2000,1659,1,0,2,0,278000
2006,1970,0,0,2,1,281000
1964,1152,1,0,1,0,180500
1972,1302,0,0,2,1,119500
1892,2372,0,0,2,0,107500
1976,1664,0,0,2,1,162900
1955,864,1,0,1,0,115000
1968,1052,1,0,1,1,138500
1963,1128,1,0,2,0,155000
2005,1072,1,0,2,0,140000
2008,5642,2,0,2,1,160000
1959,1246,1,0,1,1,154000
1999,1983,0,0,2,1,225000
1942,1494,0,0,1,0,177500
1994,2526,1,0,2,1,290000
2005,1616,0,0,2,0,232000
2004,1708,0,0,2,0,130000
2006,1652,1,0,2,0,325000
2005,1368,0,0,2,0,202500
1994,990,1,0,1,0,138000
1948,1122,1,0,1,0,147000
1991,1294,1,0,2,0,179200
1959,1902,1,0,2,0,335000
2005,1274,1,0,2,0,203000
1990,2810,0,0,2,1,302000
1999,2599,0,0,2,1,333168
1954,948,1,0,1,0,119000
1969,2112,0,0,2,1,206900
2008,1630,1,0,2,0,295493
2006,1352,0,0,2,0,208900
2001,1787,0,0,2,0,275000
1954,948,0,0,1,0,111000
1957,1478,1,0,1,1,156500
1949,720,0,0,1,0,72500
1992,1923,1,0,2,1,190000
1940,708,0,0,1,0,82500
2006,1795,0,0,2,0,147000
1922,796,0,0,1,0,55000
1931,774,0,0,1,0,79000
1982,816,0,1,1,0,130500
1920,2792,0,0,2,0,256000
1998,1632,0,0,2,1,176500
2006,1588,0,0,2,0,227000
1976,954,0,0,1,0,132500
1938,816,1,0,1,0,100000
1938,1360,0,0,1,1,125500
1970,1365,0,0,1,1,125000
1977,1334,0,1,2,0,167900
1973,1656,0,0,2,0,135000
1941,693,0,0,1,0,52500
2002,1861,1,0,2,1,200000
1972,864,0,0,1,0,128500
1971,872,0,0,1,0,123000
2003,1114,1,0,1,0,155000
2002,2169,0,0,2,1,228500
1928,1913,0,0,1,1,177000
2006,1456,0,0,2,1,155835
1920,960,0,0,1,0,108500
1968,2156,0,0,2,0,262500
2006,1776,1,0,2,0,283463
1998,1494,1,0,2,0,215000
1872,2358,0,0,2,0,122000
1969,2634,1,1,2,2,200000
1962,1716,0,0,1,1,171000
1937,1176,0,0,1,0,134900
1995,3238,1,0,2,1,410000
2000,1865,1,0,2,1,235000
1968,1920,0,0,3,0,170000
1966,892,0,0,1,0,110000
1971,1078,1,0,1,1,149900
2000,1573,0,0,2,1,177500
2004,1980,1,0,2,0,315000
1921,2601,0,0,3,1,189000
2005,1530,1,0,2,0,260000
1920,1738,0,0,2,0,104900
2006,1412,0,0,2,1,156932
2005,1200,0,0,2,1,144152
2000,1674,1,0,2,1,216000
1999,1790,1,0,2,1,193000
1977,1475,0,0,2,0,127000
2003,848,1,0,1,0,144000
2003,1668,1,0,2,0,232000
1920,1374,0,0,1,0,105000
1955,1661,1,0,1,0,165500
1998,2097,1,0,2,1,274300
2001,2633,1,0,2,1,466500
2005,1958,0,0,2,1,250000
2007,1571,0,0,2,0,239000
1930,790,0,0,1,0,91000
1941,1604,0,0,2,0,117000
1973,987,0,0,1,1,83000
2006,1394,0,0,2,1,167500
1914,864,1,0,1,0,58500
1970,2117,0,0,2,1,237500
1920,1762,1,0,1,1,157000
1918,1416,0,0,2,0,112000
1939,1258,0,0,1,0,105000
1922,1154,1,0,1,0,125500
1978,2784,1,0,3,1,250000
1916,2526,0,0,2,0,136000
2006,1746,1,0,2,0,377500
1941,1218,0,1,1,0,131000
2000,1525,1,0,2,0,235000
1967,1584,0,0,2,0,124000
1967,900,1,0,1,0,123000
1905,1912,0,0,2,0,163000
2006,1500,1,0,2,0,246578
2005,2482,0,0,2,1,281213
1948,1687,1,0,1,0,160000
1920,1513,0,0,1,1,137500
1950,1904,1,0,1,1,138000
1925,1608,0,0,2,1,137450
1929,1158,0,0,1,0,120000
2004,1593,1,0,2,1,193000
2006,1294,0,0,2,0,193879
2007,1464,1,0,2,0,282922
1915,1214,0,0,1,0,105000
2004,1646,1,1,2,0,275000
1972,768,1,0,1,0,133000
1985,833,1,0,1,0,112000
1910,1363,0,0,1,0,125500
1986,2093,0,0,2,1,215000
2001,1840,1,0,2,1,230000
1950,1668,0,0,1,1,140000
1949,1040,0,0,2,0,90000
2005,1844,1,0,2,0,257000
1923,1848,0,0,1,1,207000
2007,1569,0,1,2,0,175900
1885,2290,0,0,2,0,122500
1998,2450,1,0,2,1,340000
1963,1144,1,0,1,1,124000
1969,1844,1,0,2,0,223000
1968,1416,0,0,2,1,179900
1977,1069,0,0,2,0,127500
2003,848,1,0,1,0,136500
1966,2201,0,0,2,0,274970
1958,1344,1,0,1,0,144000
1959,1252,0,0,1,0,142000
1994,2127,1,0,2,1,271000
1945,1558,1,0,1,1,140000
1940,804,1,0,1,0,119000
1981,1440,0,0,2,0,182900
2005,1838,0,0,2,1,192140
1976,958,0,0,2,0,143750
1927,968,0,0,2,0,64500
2000,1792,1,0,2,1,186500
1977,1126,1,0,2,0,160000
1962,1537,1,0,1,1,174000
1971,864,0,0,1,0,120500
2008,1932,1,0,2,0,394617
1957,1236,1,0,1,0,149700
1979,1725,0,0,2,1,197000
1922,2555,0,0,2,0,191000
2004,848,1,0,1,0,149300
2008,2007,1,0,2,1,310000
1916,952,0,0,1,0,121000
2004,1422,0,0,2,0,179600
1966,913,1,0,1,0,129000
1962,1188,0,0,1,0,157900
1995,2090,1,0,2,1,240000
1910,1346,0,0,1,1,112000
1970,630,1,0,1,0,92000
1974,1792,0,0,2,2,136000
2008,1578,0,0,2,0,287090
2005,1072,1,0,1,0,145000
2006,1140,0,0,1,0,84500
2004,1221,1,0,2,0,185000
1999,1647,0,0,2,1,175000
1978,2073,1,0,2,0,210000
1941,2340,0,0,2,0,266500
1950,1078,1,0,1,0,142125
1965,1256,1,0,1,1,147500
